"filename", "language", "JSON", "JavaScript", "TypeScript", "CSS", "HTML", "Markdown", "comment", "blank", "total"
"c:\Users\10929291\Documents\Development\mean-course\README.md", "Markdown", 0, 0, 0, 0, 0, 14, 0, 14, 28
"c:\Users\10929291\Documents\Development\mean-course\angular.json", "JSON", 111, 0, 0, 0, 0, 0, 0, 1, 112
"c:\Users\10929291\Documents\Development\mean-course\backend\app.js", "JavaScript", 0, 27, 0, 0, 0, 0, 3, 10, 40
"c:\Users\10929291\Documents\Development\mean-course\backend\models\post.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 3, 9
"c:\Users\10929291\Documents\Development\mean-course\backend\routes\posts.js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 9, 59
"c:\Users\10929291\Documents\Development\mean-course\karma.conf.js", "JavaScript", 0, 37, 0, 0, 0, 0, 6, 2, 45
"c:\Users\10929291\Documents\Development\mean-course\package-lock.json", "JSON", 29987, 0, 0, 0, 0, 0, 0, 1, 29988
"c:\Users\10929291\Documents\Development\mean-course\package.json", "JSON", 46, 0, 0, 0, 0, 0, 0, 1, 47
"c:\Users\10929291\Documents\Development\mean-course\server.js", "JavaScript", 0, 42, 0, 0, 0, 0, 2, 9, 53
"c:\Users\10929291\Documents\Development\mean-course\src\app\app-routing.module.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\10929291\Documents\Development\mean-course\src\app\app.component.css", "CSS", 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\10929291\Documents\Development\mean-course\src\app\app.component.html", "HTML", 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\10929291\Documents\Development\mean-course\src\app\app.component.spec.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 5, 36
"c:\Users\10929291\Documents\Development\mean-course\src\app\app.component.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\10929291\Documents\Development\mean-course\src\app\app.module.ts", "TypeScript", 0, 0, 42, 0, 0, 0, 0, 6, 48
"c:\Users\10929291\Documents\Development\mean-course\src\app\header\header.component.css", "CSS", 0, 0, 0, 15, 0, 0, 0, 4, 19
"c:\Users\10929291\Documents\Development\mean-course\src\app\header\header.component.html", "HTML", 0, 0, 0, 0, 11, 0, 0, 1, 12
"c:\Users\10929291\Documents\Development\mean-course\src\app\header\header.component.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 3, 11
"c:\Users\10929291\Documents\Development\mean-course\src\app\posts\post-create\mime-type.validator.ts", "TypeScript", 0, 0, 39, 0, 0, 0, 0, 2, 41
"c:\Users\10929291\Documents\Development\mean-course\src\app\posts\post-create\post-create.component.css", "CSS", 0, 0, 0, 17, 0, 0, 0, 5, 22
"c:\Users\10929291\Documents\Development\mean-course\src\app\posts\post-create\post-create.component.html", "HTML", 0, 0, 0, 0, 37, 0, 0, 1, 38
"c:\Users\10929291\Documents\Development\mean-course\src\app\posts\post-create\post-create.component.ts", "TypeScript", 0, 0, 81, 0, 0, 0, 0, 8, 89
"c:\Users\10929291\Documents\Development\mean-course\src\app\posts\post-list\post-list.component.css", "CSS", 0, 0, 0, 10, 0, 0, 0, 3, 13
"c:\Users\10929291\Documents\Development\mean-course\src\app\posts\post-list\post-list.component.html", "HTML", 0, 0, 0, 0, 14, 0, 0, 1, 15
"c:\Users\10929291\Documents\Development\mean-course\src\app\posts\post-list\post-list.component.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 5, 8, 43
"c:\Users\10929291\Documents\Development\mean-course\src\app\posts\post.model.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\Users\10929291\Documents\Development\mean-course\src\app\posts\posts.service.ts", "TypeScript", 0, 0, 78, 0, 0, 0, 0, 11, 89
"c:\Users\10929291\Documents\Development\mean-course\src\environments\environment.prod.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\10929291\Documents\Development\mean-course\src\environments\environment.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 11, 3, 17
"c:\Users\10929291\Documents\Development\mean-course\src\index.html", "HTML", 0, 0, 0, 0, 16, 0, 0, 1, 17
"c:\Users\10929291\Documents\Development\mean-course\src\main.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 4, 13
"c:\Users\10929291\Documents\Development\mean-course\src\polyfills.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 57, 8, 66
"c:\Users\10929291\Documents\Development\mean-course\src\styles.css", "CSS", 0, 0, 0, 2, 0, 0, 1, 2, 5
"c:\Users\10929291\Documents\Development\mean-course\src\test.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 4, 5, 28
"c:\Users\10929291\Documents\Development\mean-course\tsconfig.app.json", "JSON", 14, 0, 0, 0, 0, 0, 1, 1, 16
"c:\Users\10929291\Documents\Development\mean-course\tsconfig.json", "JSON", 29, 0, 0, 0, 0, 0, 1, 1, 31
"c:\Users\10929291\Documents\Development\mean-course\tsconfig.spec.json", "JSON", 17, 0, 0, 0, 0, 0, 1, 1, 19
"Total", "-", 30204, 162, 374, 48, 82, 14, 92, 145, 31121
